size,connectance,sigma,mu_u,mu_l,Robs
250,0.5,0.25,-1.05,0.25,2.009759395257563
250,0.5,0.25,-1.05,0.25,1.9558939216954936
250,0.5,0.25,-1.05,0.25,2.050479116713686
250,0.5,0.25,-1.05,0.25,1.952220146899562
250,0.5,0.25,-1.05,0.25,2.104172198862296
250,0.5,0.25,-1.05,0.25,1.955683313733874
250,0.5,0.25,-1.05,0.25,2.0528154545339654
250,0.5,0.25,-1.05,0.25,2.195791997236277
250,0.5,0.25,-1.05,0.25,2.043490411004706
250,0.5,0.25,-1.05,0.25,2.09840800790022
250,0.5,0.25,-1.05,0.25,2.0308727972758427
250,0.5,0.25,-1.05,0.25,1.9165039338173524
250,0.5,0.25,-1.05,0.25,2.1866567568022557
250,0.5,0.25,-1.05,0.25,2.071432992815786
250,0.5,0.25,-1.05,0.25,1.8245917997728334
250,0.5,0.25,-1.05,0.25,2.1402180634691295
250,0.5,0.25,-1.05,0.25,2.1762764086531226
250,0.5,0.25,-1.05,0.25,1.9833949393404116
250,0.5,0.25,-1.05,0.25,2.0881142920056752
250,0.5,0.25,-1.05,0.25,1.9896142661342642
250,0.5,0.25,-1.05,0.25,1.9797639236390001
250,0.5,0.25,-1.05,0.25,2.157288409387667
250,0.5,0.25,-1.05,0.25,1.9561076641212238
250,0.5,0.25,-1.05,0.25,2.0786379744513135
250,0.5,0.25,-1.05,0.25,1.9800141612563338
250,0.5,0.25,-1.05,0.25,1.9439713023886671
250,0.5,0.25,-1.05,0.25,1.9368307072641173
250,0.5,0.25,-1.05,0.25,2.0072623667339253
250,0.5,0.25,-1.05,0.25,1.910815494230868
250,0.5,0.25,-1.05,0.25,2.2256886104350637
250,0.5,0.25,-1.05,0.25,2.0292847821935274
250,0.5,0.25,-1.05,0.25,1.9765991865903172
250,0.5,0.25,-1.05,0.25,1.9844851992322925
250,0.5,0.25,-1.05,0.25,1.8202728607300953
250,0.5,0.25,-1.05,0.25,2.0428047574406993
250,0.5,0.25,-1.05,0.25,1.9162199799757533
250,0.5,0.25,-1.05,0.25,1.8112441871315679
250,0.5,0.25,-1.05,0.25,2.073660309190663
250,0.5,0.25,-1.05,0.25,2.111270157967256
250,0.5,0.25,-1.05,0.25,1.916351143021006
250,0.5,0.25,-1.05,0.25,1.9551458078907216
250,0.5,0.25,-1.05,0.25,2.0917939686233784
250,0.5,0.25,-1.05,0.25,1.9963110933295631
250,0.5,0.25,-1.05,0.25,2.181208257927362
250,0.5,0.25,-1.05,0.25,1.9258530343088203
250,0.5,0.25,-1.05,0.25,1.9955312644753624
250,0.5,0.25,-1.05,0.25,2.014057425059096
250,0.5,0.25,-1.05,0.25,1.9436951215186598
250,0.5,0.25,-1.05,0.25,2.0194726013039452
250,0.5,0.25,-1.05,0.25,1.9348551522819117
