run,Rmax,Robs,size,connectance,sigma,mu,obs,pred,Rho
54,1.3,1.2578112531402839,250,0.9317197441123426,0.144596997482911,-0.056187658570706844,0.2776419385373368,0.251215359263559,0.18321643051940953
55,1.3,1.344157282641843,250,0.9759988246951252,0.17481650705946983,-0.6397610525600612,0.2684337154196872,0.25598348400526777,0.14858981269358879
56,1.3,1.2585572757683152,250,0.954935479676351,0.3177273647015042,-0.5406259908340871,0.24191381125759254,0.26762601596775315,0.10079219302268254
57,1.3,1.3651986019896216,250,0.7091244992334396,0.38618945840036,0.06033195508643985,0.03114159179123766,0.030118240600001917,0.5292029971953137
58,1.3,1.2727896532842882,250,0.5753254322335124,0.12749246124259023,-0.06027035042643547,0.2635753573932912,0.25014948263741554,0.21838571126816342
59,1.3,1.3291863255020049,250,0.6945863044820726,0.1714128195375499,-0.1325184190645814,0.2608307322004205,0.2522695418308385,0.18166083812334952
60,1.3,1.2959796606605156,250,0.9983559944666922,0.1347442997024566,-0.9360152264125645,0.22375807631195901,0.25115806218151915,0.17412666061849347
61,1.3,1.2727410865081212,250,0.30033476068638265,0.25212816531918125,-0.19196927081793547,0.23544644517615043,0.2529300507388677,0.17662189908614567
62,1.3,1.5715701779613007,250,0.7267718077637255,0.4397354013566793,0.09474177658557892,0.02516986023798415,0.03656484164151376,0.40743325351948545
63,1.3,1.3656916828418932,250,0.7912929174490273,0.38475333590925465,0.06954821851104498,0.03433199346003128,0.032898870389520926,0.6369813220459775
64,1.3,1.2970622036246324,250,0.38053890923038125,0.3806185736223917,-0.20355417393147945,0.2629686714040723,0.261161235149858,0.12215183814340548
65,1.3,1.280641330560143,250,0.7580485539510846,0.14744675479230937,-0.1872777440585196,0.23529149170855765,0.2519553796197836,0.17134458616513673
66,1.3,1.2993138871763714,250,0.5573771432973444,0.30022371182265367,1.8048612400889397e-4,0.2758811432926545,0.25834837511145153,0.1412274690316166
67,1.3,1.286676546596781,250,0.9422201933339238,0.2144080098536075,-0.5237850211560726,0.2613899822719867,0.2599450437659867,0.1328438100755269
68,1.3,1.3296643756464919,250,0.5910515326540917,0.4150746554009713,-0.1466076197102666,0.25585276299098186,0.2673905333551964,0.10291550635022569
69,1.3,1.4042798165233266,250,0.3118419130332768,0.4530635181456274,0.04076529433950782,0.26377441917638117,0.252595059601691,0.13147608594951232
70,1.3,1.3578498376231163,250,0.13402434368617833,0.36847100347064893,-0.2033010204322636,0.3039691633712746,0.2519599696887821,0.1431663410918634
71,1.3,1.4042430746229557,250,0.13040976109914482,0.44191433720899975,-0.146777736954391,0.282150295170162,0.2531698133096567,0.1432379957369901
72,1.3,1.2982383279714615,250,0.43242872622795403,0.21236207731258916,-0.1657917844131589,0.27183784477703365,0.25276523955871527,0.16729350984656605
73,1.3,1.2737277277406511,250,0.5557015801314265,0.3444343157224538,-0.3103860239498317,0.27296928161993256,0.2650914373002793,0.126762418659617
74,1.3,1.4057151792593428,250,0.05250696465373039,0.46537713702047373,-0.28363387705758214,0.28843487445355376,0.25038457496465466,0.16957016506917594
75,1.3,1.268827664019228,250,0.5668280185200274,0.10992371102349666,-0.08637142041698098,0.2519850574089556,0.25046696258308127,0.24356792876780656
76,1.3,1.2889309615030737,250,0.4676102576777339,0.2388506941514069,-0.14082331024110317,0.24434811149508454,0.2540762857741324,0.16129842347864887
77,1.3,1.255474113506432,250,0.98940150719136,0.09201000087099645,-0.4111931608058512,0.2643184812580587,0.25017701684554966,0.2391876865387788
78,1.3,1.29592273401466,250,0.6305668156128377,0.11304224326179373,0.004904550965875387,0.24648451945221656,0.25289815959978207,0.28626799990708257
79,1.3,1.240741690476791,250,0.9973121744114906,0.3082961181446714,-0.843011180870235,0.2542979411263709,0.26608482219944096,0.10405938585881949
80,1.3,1.2637348499657854,250,0.7736733832862228,0.4062465195353794,-0.2593248011544347,0.29990640720292094,0.27095538596580737,0.09046223421686961
81,1.3,1.5336580300142235,250,0.9076342256739736,0.31818508142339225,0.039301290176808834,0.029441266158208093,0.02598560021019852,0.47079284940441507
82,1.3,1.4471119965852448,250,0.8438619447406381,0.37072780521769294,0.05097152618691325,0.03236775374667926,0.029679317105236032,0.4811451761027224
83,1.3,1.4250321289424148,250,0.38807113096117973,0.3698952870640071,0.07538776099681854,0.0295157431538069,0.025428392867088877,0.4687863991207714
84,1.3,1.273712113643166,250,0.2918725546915084,0.31631247048175204,-0.25123210810124874,0.2654425187248066,0.256628370373475,0.15733063564267283
85,1.3,1.2624718333237601,250,0.9910995657555759,0.3281503729888574,-0.5182306985370815,0.25647325796576764,0.26764213618937865,0.10229206781023666
86,1.3,1.2946899778831793,250,0.9023391001392156,0.21326430394440798,-0.35447789542376995,0.24936512616632142,0.25873816626397234,0.14451004343189353
87,1.3,1.719995174746909,250,0.542484472040087,0.3909225171990691,0.03344029886648059,0.23286504957577633,0.2470686206761814,0.16288135911288718
88,1.3,1.2377572236682517,250,0.5782106232363731,0.15078242921286011,-0.14395743841305375,0.2514911264633902,0.25089613798593363,0.1904984912086883
89,1.3,1.3435761171930702,250,0.8582925058435649,0.23779423931702842,-0.28348771715536714,0.2637282005640476,0.2599347415648897,0.12301810870841517
90,1.3,1.2702755585245247,250,0.47145652305334806,0.38133037771552547,-0.29321755887940526,0.2800444300094961,0.2651461940447336,0.11830530466403401
91,1.3,1.3141001339446918,250,0.8295907794963568,0.2077668473242747,-0.22326880786567926,0.25068660567076123,0.25674464529981106,0.1432783035138559
92,1.3,1.3338568814578873,250,0.6126517285592854,0.36029626213844823,-0.3636381272226572,0.2772131898983927,0.26787815683315835,0.07761890076863417
93,1.3,1.2760638641063524,250,0.7850864783395082,0.3971696968917157,-0.5252135782502592,0.27590725623453244,0.2737092942939225,0.09428259532194491
94,1.3,1.2968022431772228,250,0.5027357821818441,0.20829424038608058,-0.1035781754180789,0.24619765541894595,0.25232731547085924,0.1831105103988666
